Date,Open,High,Low,Close,Adj Close,Volume,sp_quarterly_ret
1970-07-01,0.0,73.66000366210938,72.11000061035156,72.94000244140625,72.94000244140625,8610000.0,-0.19018538149725706
1970-10-01,0.0,84.69999694824219,83.45999908447266,84.31999969482422,84.31999969482422,9700000.0,0.1560186025844965
1971-04-01,0.0,100.98999786376953,99.62999725341797,100.38999938964844,100.38999938964844,13470000.0,0.190583488531614
1971-07-01,0.0,100.6500015258789,99.16000366210938,99.77999877929688,99.77999877929688,13090000.0,-0.006076308537307007
1971-10-01,0.0,99.48999786376953,97.95999908447266,98.93000030517578,98.93000030517578,13400000.0,-0.008518726042492819
1973-10-01,0.0,108.9800033569336,107.08000183105469,108.20999908447266,108.20999908447266,15830000.0,0.09380368695714414
1974-04-01,0.0,94.68000030517578,92.81999969482422,93.25,93.25,11470000.0,-0.13824969236710127
1974-07-01,0.0,86.88999938964844,85.31999969482422,86.0199966430664,86.0199966430664,10270000.0,-0.077533548063631
1974-10-01,0.0,64.37000274658203,61.75,63.38999938964844,63.38999938964844,16890000.0,-0.26307833220825927
1975-04-01,0.0,83.58999633789062,81.9800033569336,82.63999938964844,82.63999938964844,14480000.0,0.3036756615451792
1975-07-01,0.0,95.7300033569336,94.12999725341797,94.8499984741211,94.8499984741211,20390000.0,0.14774926397206745
1975-10-01,0.0,85.44999694824219,82.56999969482422,82.93000030517578,82.93000030517578,14070000.0,-0.12567209658097744
1976-04-01,0.0,103.23999786376953,101.5,102.23999786376953,102.23999786376953,17910000.0,0.2328469490839804
1976-07-01,0.0,104.9800033569336,103.13999938964844,103.58999633789062,103.58999633789062,21130000.0,0.0132042107035244
1976-10-01,0.0,105.75,103.5999984741211,104.16999816894531,104.16999816894531,20620000.0,0.0055990139160042585
1977-04-01,0.0,99.56999969482422,98.37999725341797,99.20999908447266,99.20999908447266,17050000.0,-0.047614468384922226
1977-07-01,0.0,100.76000213623047,99.62999725341797,100.0999984741211,100.0999984741211,18160000.0,0.008970863802655993
1979-10-01,0.0,109.19000244140625,107.69999694824219,108.55999755859375,108.55999755859375,24980000.0,0.08451547665767278
1980-04-01,0.0,103.27999877929688,100.8499984741211,102.18000030517578,102.18000030517578,32230000.0,-0.05876932016302283
1980-07-01,0.0,115.44999694824219,113.54000091552734,114.93000030517578,114.93000030517578,34340000.0,0.12477979997964606
1980-10-01,0.0,127.87999725341797,124.66000366210938,127.12999725341797,127.12999725341797,48720000.0,0.10615154368613333
1981-04-01,0.0,137.55999755859375,135.0399932861328,136.57000732421875,136.57000732421875,54880000.0,0.07425478073426905
